JOHN
time[s]       Fp1      Fp2       F7       F3       Fz       F4       F8       T3       C3       Cz       C4       T4       T5       P3       Pz       P4       T6       O1       O2      Ref     Drlv   Photic 
0.084 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -9194.000 -1.000
0.086 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -8764.000 -1.000
0.088 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -8251.000 -1.000
0.090 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -7659.000 -1.000
0.092 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -6993.000 -1.000
0.094 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -6260.000 -1.000
0.096 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -5466.000 -1.000
0.098 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -4621.000 -1.000
0.100 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -3731.000 -1.000
0.102 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -2805.000 -1.000
0.104 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1852.000 -1.000
0.106 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -881.000 -1.000
0.108 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 98.000 -1.000
0.110 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 1076.000 -1.000
0.112 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 2044.000 -1.000
0.114 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 2992.000 -1.000
0.116 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 3911.000 -1.000
0.118 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 4793.000 -1.000
0.120 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 5629.000 -1.000
0.122 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 6411.000 -1.000
0.124 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 7131.000 -1.000
0.126 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 7783.000 -1.000
0.128 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 8360.000 -1.000
0.130 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 8857.000 -1.000
0.132 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 9269.000 -1.000
0.134 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 9592.000 -1.000
0.136 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 9822.000 -1.000
0.138 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 9959.000 -1.000
0.140 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 10000.000 -1.000
0.142 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 9945.000 -1.000
0.144 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 9794.000 -1.000
0.146 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 9549.000 -1.000
0.148 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 9213.000 -1.000
0.150 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 8789.000 -1.000
0.152 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 8279.000 -1.000
0.154 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 7691.000 -1.000
0.156 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 7029.000 -1.000
0.158 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 6299.000 -1.000
0.160 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 5508.000 -1.000
0.162 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 4665.000 -1.000
0.164 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 3777.000 -1.000
0.166 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 2853.000 -1.000
0.168 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 1901.000 -1.000
0.170 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 931.000 -1.000
0.172 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -47.000 -1.000
0.174 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1026.000 -1.000
0.176 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1994.000 -1.000
0.178 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -2944.000 -1.000
0.180 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -3865.000 -1.000
0.182 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -4749.000 -1.000
0.184 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -5587.000 -1.000
0.186 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -6372.000 -1.000
0.188 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -7096.000 -1.000
0.190 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -7751.000 -1.000
0.192 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -8332.000 -1.000
0.194 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -8833.000 -1.000
0.196 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -9250.000 -1.000
0.198 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -9577.000 -1.000
0.200 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -9813.000 -1.000
0.202 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -9954.000 -1.000
0.204 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -10000.000 -1.000
0.206 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -9950.000 -1.000
0.208 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -9804.000 -1.000
0.210 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -9564.000 -1.000
0.212 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -9233.000 -1.000
0.214 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -8812.000 -1.000
0.216 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -8308.000 -1.000
0.218 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -7723.000 -1.000
0.220 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -7064.000 -1.000
